PassengerId,Survived_Prob,Survived
500,0.0,0
430,0.36,1
445,0.52,1
650,0.0,0
172,0.51,1
450,0.03,0
314,0.04,0
332,0.33,0
801,0.96,1
90,0.0,0
834,0.16,0
181,0.21,0
581,0.93,1
795,0.31,0
69,0.12,0
131,0.07,0
334,0.86,1
597,0.02,0
135,0.34,0
164,0.16,0
28,0.61,1
783,0.02,0
193,0.92,1
869,0.69,1
715,0.15,0
525,0.05,0
381,0.61,1
140,0.87,0
173,0.28,0
6,0.68,0
718,0.03,0
685,0.28,0
73,0.63,0
882,0.12,0
328,0.5,1
453,0.3,1
145,0.04,0
234,0.11,0
220,0.08,1
370,0.82,1
811,0.03,0
132,0.44,0
694,0.31,0
864,0.07,0
185,0.07,0
41,0.91,0
547,0.27,1
108,0.01,0
603,0.02,0
56,0.93,1
394,0.64,1
706,0.99,1
549,0.65,1
24,0.14,0
351,0.19,0
429,0.48,1
434,0.71,0
51,0.21,0
526,0.82,1
816,0.55,0
569,0.0,1
264,0.78,0
436,0.15,0
613,0.026666666666666665,0
693,0.4218333333333334,0
352,0.49,0
18,0.41,0
666,0.03,0
582,0.02,0
83,0.23,0
61,0.98,1
272,0.97,1
285,0.09,0
695,0.01,0
746,0.08,0
12,0.25,0
182,0.27,0
444,0.05,1
552,0.06,0
223,0.0,0
513,0.92,1
628,0.01,0
587,0.69,1
692,0.17,1
523,0.97,1
664,0.12,1
176,0.25,0
841,0.35,0
678,0.38,0
163,0.02,0
248,0.39,1
570,0.22,1
787,0.04,0
74,0.41,1
113,0.1,0
635,0.99,1
501,0.74,0
104,0.01,0
114,0.36,0
368,0.91,1
92,0.54,0
497,0.03,0
89,0.01,0
336,0.24,0
879,0.99,1
817,0.19,0
828,0.09,1
543,0.07,1
548,0.03,0
94,0.0,0
11,0.92,1
431,0.84,1
43,0.86,1
42,0.32,0
329,0.95,1
167,0.25,0
779,0.87,1
537,0.98,1
735,0.06,0
499,0.12,0
178,0.19,0
583,0.63,0
784,0.29,0
593,0.81,0
177,0.99,0
644,0.5,1
710,0.9,1
615,0.94,1
383,0.9,1
257,1.0,1
734,0.07,0
335,0.0,0
551,0.06,0
15,0.99,1
3,0.94,1
411,0.016,0
256,0.92,1
451,0.04,0
473,0.9,1
697,0.84,1
393,0.93,1
222,0.06,0
506,1.0,1
567,0.33,0
420,0.26,0
324,0.01,0
530,0.98,1
9,0.95,1
249,0.17,0
22,0.59,1
356,0.95,1
221,0.27,0
601,0.0,0
766,0.42,0
874,0.94,1
528,0.01,0
340,0.91,1
743,0.12,0
519,0.0,0
203,0.04,0
237,0.83,1
93,0.13,0
730,0.98,1
440,0.9,1
559,0.71,1
284,0.19,0
184,0.37,1
791,0.1,0
487,0.61,0
153,0.02,0
75,0.15,0
656,0.03,0
631,0.0,0
277,0.04,0
68,0.3,1
825,0.016,0
188,0.15,0
271,0.13,1
662,0.67,0
711,0.25,0
